generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
180,70,2.7953733746363017e-05,2.9005106833609895e-05,2.8952855415112093e-05,1.8660847408872485e-07
181,67,2.7953733746363017e-05,2.9005106833609895e-05,2.89195867343952e-05,2.461387553140577e-07
182,76,2.8189740077036306e-05,2.9005106833609895e-05,2.895892134182209e-05,1.6753487677120727e-07
183,60,2.8189740077036306e-05,2.9005106833609895e-05,2.8942014591223278e-05,1.9088114241370385e-07
184,68,2.7914979355566646e-05,2.9005106833609895e-05,2.8935962828090944e-05,2.1284395342338752e-07
185,64,2.7914979355566646e-05,2.9005106833609895e-05,2.8938303611540063e-05,2.1122426147958117e-07
186,74,2.693131127574827e-05,2.9005106833609895e-05,2.892175972136825e-05,2.711930537927028e-07
187,68,2.693131127574827e-05,2.9005106833609895e-05,2.8940187601649995e-05,2.557906275946798e-07
188,74,2.693131127574827e-05,2.9005106833609895e-05,2.893082156111865e-05,3.288184988287807e-07
189,70,2.693131127574827e-05,2.9005106833609895e-05,2.8954812523080943e-05,2.396396284122601e-07
190,66,2.693131127574827e-05,2.9005106833609895e-05,2.8958230516504847e-05,2.396283357871911e-07
191,64,2.6973976533289478e-05,2.9005106833609895e-05,2.8959213645541567e-05,2.3598938304872898e-07
192,66,2.6973976533289478e-05,2.9005106833609895e-05,2.89386862803753e-05,3.2308150889837926e-07
193,64,2.6973976533289478e-05,2.9379691680958587e-05,2.8943368590967163e-05,3.267042443518451e-07
194,75,2.6973976533289478e-05,2.9520759917862884e-05,2.8923571420816562e-05,3.8049911740119115e-07
195,58,2.6973976533289478e-05,2.9520759917862884e-05,2.8980851791503857e-05,2.334721231592318e-07
196,72,2.681696523728451e-05,2.9520759917862884e-05,2.89902388784137e-05,2.792978631487072e-07
197,74,2.8339430071586218e-05,2.9520759917862884e-05,2.900089254277833e-05,1.437045657956055e-07
198,68,2.8385470141193503e-05,2.9520759917862884e-05,2.899589513423757e-05,1.5693839492724956e-07
199,68,2.7564816261177915e-05,2.9520759917862884e-05,2.9013351097461005e-05,2.4289489758551814e-07
